date,hours worked,employee id,job group
01/01/2024,8,1,A
02/01/2024,7.5,2,B
03/01/2024,6,3,A
04/01/2024,5,4,B
05/01/2024,8,1,A
06/01/2024,7,2,B
07/01/2024,6.5,3,A
08/01/2024,5.5,4,B
09/01/2024,8,1,A
10/01/2024,7.5,2,B
11/01/2024,6,3,A
12/01/2024,5,4,B
13/01/2024,8,1,A
14/01/2024,7,2,B
15/01/2024,6.5,3,A
16/01/2024,5.5,4,B
17/01/2024,8,1,A
18/01/2024,7.5,2,B
19/01/2024,6,3,A
20/01/2024,5,4,B
21/01/2024,8,1,A
22/01/2024,7,2,B
23/01/2024,6.5,3,A
24/01/2024,5.5,4,B
25/01/2024,8,1,A
26/01/2024,7.5,2,B
27/01/2024,6,3,A
28/01/2024,5,4,B
29/01/2024,8,1,A
30/01/2024,7,2,B
31/01/2024,6.5,3,A
01/02/2024,5.5,4,B
